Identifiant,"Date (AAAA/MM/JJ)",Heure,Nom,"Région épicentrale",Choc,"X RGF93/L93","Y RGF93/L93","Latitude en WGS 84","Longitude en WGS 84","Intensité épicentrale","Qualité intensité épicentrale"
650462,1900/02/16,"5 h","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
40058,1900/03/01,"5 h 50 min","PREALPES DE DIGNE (THOARD ?)","ALPES PROVENCALES",,942521.07,6345509.81,44.17,6.03,4.5,INCERTAINE
40059,1900/03/01,"5 h 55 min","PREALPES DE DIGNE (THOARD ?)","ALPES PROVENCALES",REPLIQUE,947993.88,6342016.16,44.13,6.10,,
1130134,1900/04/05,"22 h 50 min","PIEMONT (CUNEO)",ITALIE,,1062283.56,6375362.46,44.38,7.55,5,"ASSEZ SURE"
1130491,1900/04/15,"5 h 15 min","PIEMONT (CUNEO)",ITALIE,,1051471.44,6378456.93,44.42,7.42,,
690015,1900/04/26,"3 h","LYONNAIS (LYON)",FOREZ-LYONNAIS,,843770.88,6520246.40,45.77,4.85,4,"INFORMATION ISOLÉE"
1130162,1900/05/10,"8 h","PIEMONT (BAGNI DI VINADIO)",ITALIE,,1025639.79,6364085.77,44.30,7.08,5.5,"ASSEZ SURE"
1120276,1900/05/18,"1 h 24 min","LAC LEMAN (MONTREUX ?)",SUISSE,,994311.00,6597890.72,46.42,6.83,5,INCERTAINE
680060,1900/06/03,"17 h","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1030850.17,6813028.57,48.33,7.47,,
680061,1900/06/03,"19 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1033105.48,6816867.77,48.37,7.50,3,"ASSEZ SURE"
680062,1900/06/03,"21 h","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1023757.88,6807065.48,48.28,7.37,4.5,"ASSEZ SURE"
680063,1900/06/04,"0 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,PRECURSEUR,1028175.78,6816588.61,48.37,7.43,5,SURE
680064,1900/06/04,"2 h 30 min","PLAINE DE HAUTE-ALSACE (SELESTAT)",ALSACE,,1022523.39,6806997.27,48.28,7.35,5,SURE
650463,1900/06/16,"3 h 25 min","BIGORRE (BAGNERES-DE-BIGORRE)","PYRENEES CENTRALES",,467718.61,6222788.66,43.07,0.15,3,"INFORMATION ISOLÉE"
10040,1900/07/29,"3 h 30 min","BUGEY (NANTUA)","BRESSE ET JURA BRESSAN",,900636.92,6564434.94,46.15,5.60,,"INFORMATION ISOLÉE"
660035,1900/11/07,,"CERDAGNE (VILLENEUVE-DES-ESCALDES)","PYRENEES ORIENTALES",,613543.93,6154295.79,42.48,1.95,4,INCERTAINE
290017,1900/12/22,"20 h","MONTS D'ARREE (BOLAZEC ?)",BRETAGNE,,217435.77,6836611.29,48.45,-3.53,5,ARBITRAIRE
290018,1900/12/22,"20 h 30 min","MONTS D'ARREE (BOLAZEC ?)",BRETAGNE,REPLIQUE,217435.77,6836611.29,48.45,-3.53,,
730154,1900/12/25,"23 h 15 min","CLUSE DE CHAMBERY (CHAMBERY)","ALPES SAVOYARDES","GROUPE DE SECOUSSES D UN ESSAIM",927455.23,6500553.09,45.57,5.92,5.5,"INFORMATION ISOLÉE"